base_question,folded_questions,query
Count of patients grouped by race.,How many <SYN-ARG-patients/people/persons/individuals/subjects> <SYN-ARG-are in/fit into/end up in/were in/fitted into/ended up in> each race group?,"SELECT race, COUNT(DISTINCT pe1.person_id) AS number_of_patients FROM <SCHEMA>.person pe1 JOIN <RACE-TEMPLATE> ON pe1.race_concept_id=concept_id GROUP BY race;"
Count of patients grouped by race.,<SYN-ARG-calculate/what's/what is/tell me> the <SYN-ARG-number/count/counts> of <SYN-ARG-patients/people/persons/individuals/subjects> in race groups.,"SELECT race, COUNT(DISTINCT pe1.person_id) AS number_of_patients FROM <SCHEMA>.person pe1 JOIN <RACE-TEMPLATE> ON pe1.race_concept_id=concept_id GROUP BY race;"
Count of patients grouped by race.,How many <SYN-ARG-patients/people/persons/individuals/subjects> <SYN-ARG-are in/fit into/end up in/were in/fitted into/ended up in> race groups?,"SELECT race, COUNT(DISTINCT pe1.person_id) AS number_of_patients FROM <SCHEMA>.person pe1 JOIN <RACE-TEMPLATE> ON pe1.race_concept_id=concept_id GROUP BY race;"
Count of patients grouped by race.,<SYN-ARG-number/count/counts> of <SYN-ARG-patients/people/persons/individuals/subjects> in race groups.,"SELECT race, COUNT(DISTINCT pe1.person_id) AS number_of_patients FROM <SCHEMA>.person pe1 JOIN <RACE-TEMPLATE> ON pe1.race_concept_id=concept_id GROUP BY race;"
Count of patients grouped by race.,<SYN-ARG-calculate/tell me> how many <SYN-ARG-patients/people/persons/individuals/subjects> <SYN-ARG-are in/fit into/end up in/were in/fitted into/ended up in> each race group.,"SELECT race, COUNT(DISTINCT pe1.person_id) AS number_of_patients FROM <SCHEMA>.person pe1 JOIN <RACE-TEMPLATE> ON pe1.race_concept_id=concept_id GROUP BY race;"
Count of patients grouped by race.,<SYN-ARG-calculate/what's/what is/tell me> the <SYN-ARG-number/count/counts> of <SYN-ARG-patients/people/persons/individuals/subjects> grouped by race.,"SELECT race, COUNT(DISTINCT pe1.person_id) AS number_of_patients FROM <SCHEMA>.person pe1 JOIN <RACE-TEMPLATE> ON pe1.race_concept_id=concept_id GROUP BY race;"
Count of patients grouped by race.,<SYN-ARG-calculate/tell me> how many <SYN-ARG-patients/people/persons/individuals/subjects> <SYN-ARG-does/did> each race group <SYN-ARG-contain/have/include/imply/comprise/involve>.,"SELECT race, COUNT(DISTINCT pe1.person_id) AS number_of_patients FROM <SCHEMA>.person pe1 JOIN <RACE-TEMPLATE> ON pe1.race_concept_id=concept_id GROUP BY race;"
Counts of patients taking drug <ARG-DRUG><0> and <ARG-DRUG><1> within <ARG-TIMEDAYS><0> days.,"<SYN-ARG-calculate/what's/what is/tell me> the <SYN-ARG-number/count/counts> of <SYN-ARG-patients/people/persons/individuals/subjects> taking <SYN-ARG-all of the following/all of these> <ARG-DRUG><0>, <ARG-DRUG><1> <SYN-ARG-within/during/for> <ARG-TIMEDAYS><0> days.","SELECT COUNT( DISTINCT a.person_id ) FROM ((SELECT person_id, MIN(drug_exposure_start_date) AS min_start_date FROM (<SCHEMA>.drug_exposure dr1 JOIN <DRUG-TEMPLATE><ARG-DRUG><0> ON dr1.drug_concept_id=concept_id) GROUP BY person_id) a JOIN (SELECT person_id, MIN(drug_exposure_start_date) AS min_start_date FROM (<SCHEMA>.drug_exposure dr2 JOIN <DRUG-TEMPLATE><ARG-DRUG><1> ON dr2.drug_concept_id=concept_id) GROUP BY person_id) b ON a.person_id=b.person_id ) WHERE DATEDIFF(day, GREATEST(a.min_start_date, b.min_start_date), LEAST(a.min_start_date, b.min_start_date)) < <ARG-TIMEDAYS><0>;"
Counts of patients taking drug <ARG-DRUG><0> and <ARG-DRUG><1> within <ARG-TIMEDAYS><0> days.,<SYN-ARG-calculate/tell me> how many <SYN-ARG-patients/people/persons/individuals/subjects> <SYN-ARG-taking/take/are treated with/are on/under/receive/have treatment with/took/were treated with/were treated by/were on/were under/had treatment with/had received> <ARG-DRUG><0> and <ARG-DRUG><1> <SYN-ARG-within/during/for> <ARG-TIMEDAYS><0> days.,"SELECT COUNT( DISTINCT a.person_id ) FROM ((SELECT person_id, MIN(drug_exposure_start_date) AS min_start_date FROM (<SCHEMA>.drug_exposure dr1 JOIN <DRUG-TEMPLATE><ARG-DRUG><0> ON dr1.drug_concept_id=concept_id) GROUP BY person_id) a JOIN (SELECT person_id, MIN(drug_exposure_start_date) AS min_start_date FROM (<SCHEMA>.drug_exposure dr2 JOIN <DRUG-TEMPLATE><ARG-DRUG><1> ON dr2.drug_concept_id=concept_id) GROUP BY person_id) b ON a.person_id=b.person_id ) WHERE DATEDIFF(day, GREATEST(a.min_start_date, b.min_start_date), LEAST(a.min_start_date, b.min_start_date)) < <ARG-TIMEDAYS><0>;"
Counts of patients taking drug <ARG-DRUG><0> and <ARG-DRUG><1> within <ARG-TIMEDAYS><0> days.,<SYN-ARG-number/count/counts> of <SYN-ARG-patients/people/persons/individuals/subjects> taking <SYN-ARG-all of the following/all of these> <ARG-DRUG><0> and <ARG-DRUG><1> <SYN-ARG-within/during/for> <ARG-TIMEDAYS><0> days.,"SELECT COUNT( DISTINCT a.person_id ) FROM ((SELECT person_id, MIN(drug_exposure_start_date) AS min_start_date FROM (<SCHEMA>.drug_exposure dr1 JOIN <DRUG-TEMPLATE><ARG-DRUG><0> ON dr1.drug_concept_id=concept_id) GROUP BY person_id) a JOIN (SELECT person_id, MIN(drug_exposure_start_date) AS min_start_date FROM (<SCHEMA>.drug_exposure dr2 JOIN <DRUG-TEMPLATE><ARG-DRUG><1> ON dr2.drug_concept_id=concept_id) GROUP BY person_id) b ON a.person_id=b.person_id ) WHERE DATEDIFF(day, GREATEST(a.min_start_date, b.min_start_date), LEAST(a.min_start_date, b.min_start_date)) < <ARG-TIMEDAYS><0>;"
